"%s Item(s)","%s Item(s)"
"%s Item(s)","%s Item(s)"
"Hotels Paris Champs Elysees, Etoile","Hotels Paris Champs Elysees, Etoile"
"Hotels Champs Elysees","Hotels Champs Elysees"
"Hotels Montparnasse, Saint Germain","Hotels Montparnasse, Saint Germain"
"Hotels St Germain","Hotels St Germain"
"Hotels Gare de Lyon, Vincennes","Hotels Gare de Lyon, Vincennes"
"Hotels Gare de Lyon","Hotels Gare de Lyon"
"Hotels Louvre, Marais, Beaubourg","Hotels Louvre, Marais, Beaubourg"
"Hotels Paris Louvre","Hotels Paris Louvre"
"Hotels Wagram, Porte Maillot","Hotels Wagram, Porte Maillot"
"Hotels Wagram, Arc de Triomphe","Hotels Wagram, Arc de Triomphe"
"Hotels Wagram","Hotels Wagram"
"Paris Opera, Madeleine, Saint Lazare hotels","Paris Opera, Madeleine, Saint Lazare hotels"
"Paris Champs Elysees, Arc de Triomphe hotels","Paris Champs Elysees, Arc de Triomphe hotels"
"Paris Saint Germain des Pres, Montparnasse hotels","Paris Saint Germain des Pres, Montparnasse hotels"
"Paris Gare de Lyon Hotels, Vincennes hotels","Paris Gare de Lyon Hotels, Vincennes hotels"
"Paris Louvre, Marais, Beaubourg hotels","Paris Louvre, Marais, Beaubourg hotels"
"Paris Wagram, Batignolles, Porte Maillot hotels","Paris Wagram, Batignolles, Porte Maillot hotels"
"Paris Passy, Auteuil hotels","Paris Passy, Auteuil hotels"
"All","All"
"Choose your hotel","Choose your hotel"
"Select quartier","Select an area"
"Select hotel","Select a hotel"
"Please select a hotel","Please select a hotel"
"hotel paris centre","Hotels in Paris city centre"
"Paris Hotels - Where to stay in Paris ?","Paris Hotels - Where to stay in Paris ?"
"intro Paris hotels by district","<strong>Paris</strong> is among the most beautiful cities in Europe. The city offers a wide range of activities, attractions and different atmospheres: Romantic, luxurious, contemporary and original. From a neighborhood to another, the architecture can be very different even if it is one of the most protected architecture in the world.
The <strong>hotel</strong> location will strongly influence your <strong>Paris</strong> experience for short and long term stays as well. To guide you through this choice, we have listed below 6 main <strong>areas of Paris</strong>:"
"intro quartiers","<strong>Opera, Madeleine, Saint Lazare</strong> | <strong>Champs Elysees,  Arc de Triomphe</strong> | <strong>Saint Germain des Pres, Montparnasse</strong> | <strong>Gare de Lyon, Bastille, Vincennes</strong> | <strong>Louvre, Beaubourg, Marais</strong> | <strong>Wagram, Batignolles, Porte Maillot</strong>."
"Paris districts and areas","Paris districts and areas"
"Map of Paris","Map of Paris"
"Opera, Hausmann, St Lazare","Opera, Hausmann, St Lazare"
"1. Opera, Madeleine, St Lazare : Paris 8 & 9","1. Opera, Madeleine, St Lazare: Paris 8 &amp; 9"
"Personality : ","Personality:  "
"Business, shopping, classy","Business, shopping and classy"
